Intention,Total,Remain,Leave,Con15,Lab15,LibDem15,SNP15,Male,Female,18,25,50,65,ABC1,C2DE,London,South,Midlands,North,Scotland
Con,28,15,55,84,9,12,5,32,23,10,12,38,47,28,27,,,,,28
Lab,15,16,12,5,44,1,4,12,17,19,21,7,10,14,16,,,,,15
LibDem,12,14,6,7,17,67,1,11,13,9,14,8,13,12,11,,,,,12
Brexit,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,,,,,0
SNP,44,54,26,2,29,16,88,44,45,58,51,44,29,44,45,,,,,44
Green,1,2,0,0,1,3,1,1,1,3,2,0,0,2,0,,,,,1
Other,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,,,,,0
