Intention,Total,Remain,Leave,Con15,Lab15,LibDem15,SNP15,Male,Female,18,25,50,65,ABC1,C2DE,London,South,Midlands,North,Scotland
Con,28,13,55,80,10,12,2,28,17,7,15,27,34,28,28,,,,,28
Lab,20,23,14,3,67,4,5,12,13,22,14,10,9,18,23,,,,,20
LibDem,11,16,3,13,4,80,1,12,14,6,13,12,17,12,9,,,,,11
Brexit,0,0,3,1,0,2,0,6,7,2,3,10,9,0,1,,,,,0
SNP,40,49,23,2,17,3,90,38,46,51,51,38,29,41,37,,,,,40
Green,1,1,1,0,1,0,1,4,4,12,5,2,1,1,1,,,,,1
Other,1,0,2,2,1,0,1,0,0,0,0,1,0,1,1,,,,,1
