Intention,Total,Remain,Leave,Con15,Lab15,LibDem15,UKIP15,Male,Female,18,25,50,65,ABC1,C2DE,London,South,Midlands,North,Scotland
Con,43,18,74,86,8,15,,45,41,21,29,52,63,39,48,32,52,48,37,26
Lab,34,50,13,4,73,16,,31,38,57,45,25,17,36,31,46,25,37,42,21
LibDem,13,22,3,5,10,67,,14,12,12,14,14,11,15,10,16,18,8,10,11
Brexit,2,0,5,3,2,0,,3,2,0,2,3,3,1,4,3,0,1,7,0
SNP,4,6,1,0,2,0,,4,3,5,5,3,1,4,3,0,0,0,0,41
PlaidCymru,0,0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,2,0,0
Green,3,3,2,0,4,2,,2,3,4,3,2,2,3,3,2,3,3,3,1
Other,1,1,1,1,1,0,,1,0,0,1,0,2,1,1,1,2,0,1,0
