Intention,Total,Remain,Leave,Con15,Lab15,LibDem15,UKIP15,Male,Female,18,25,50,65,ABC1,C2DE,London,South,Midlands,North,Scotland
Con,42,16,73,83,9,11,,43,40,20,29,52,59,40,45,29,54,45,35,25
Lab,30,46,13,3,69,17,,29,31,43,43,23,14,29,31,44,19,32,42,16
LibDem,16,25,4,9,13,65,,18,15,27,15,13,18,19,12,19,20,15,12,15
Brexit,3,1,6,4,1,2,,3,3,0,3,4,4,3,3,3,3,2,5,1
SNP,4,6,1,0,1,1,,3,4,2,6,4,2,4,4,0,0,0,0,43
PlaidCymru,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0
Green,4,5,2,1,5,3,,2,5,7,4,3,2,4,3,4,3,4,5,1
Other,1,0,1,1,1,1,,1,1,1,1,0,1,1,1,1,1,0,1,0
