Intention,Total,Remain,Leave,Con15,Lab15,LibDem15,UKIP15,Male,Female,18,25,50,65,ABC1,C2DE,London,South,Midlands,North,Scotland
Con,43,17,74,85,12,11,,45,42,11,34,48,66,40,49,30,51,51,38,30
Lab,32,48,11,3,68,20,,31,33,59,40,25,15,34,29,52,27,30,39,13
LibDem,13,24,3,6,11,68,,15,12,20,14,13,10,15,10,14,18,11,9,12
Brexit,4,0,7,3,4,0,,4,3,1,4,6,3,3,5,3,1,4,8,3
SNP,4,6,2,0,1,0,,3,4,2,4,5,2,4,3,0,0,0,0,42
PlaidCymru,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0
Green,2,2,1,1,1,0,,1,3,5,2,1,1,1,2,1,2,2,3,0
Other,2,2,1,1,1,1,,1,2,1,1,2,2,2,1,0,2,2,3,1
