Intention,Total,Remain,Leave,Con15,Lab15,LibDem15,UKIP15,Male,Female,18,25,50,65,ABC1,C2DE,London,South,Midlands,North,Scotland
Con,43,18,71,85,9,13,,44,41,18,30,47,65,39,48,36,53,46,35,28
Lab,33,48,16,4,74,16,,29,37,58,43,28,15,34,31,41,24,36,48,12
LibDem,13,24,1,7,9,63,,14,11,14,15,10,10,15,9,11,19,8,8,15
Brexit,3,0,6,4,2,3,,3,2,1,1,4,4,3,3,4,0,4,6,0
SNP,4,6,2,0,2,0,,5,4,4,5,5,3,4,4,0,0,0,0,43
PlaidCymru,0,1,0,0,1,1,,1,0,1,0,1,0,0,1,0,0,2,0,0
Green,3,3,2,1,3,3,,3,3,4,4,3,2,3,3,7,3,4,2,1
Other,1,1,2,0,1,2,,1,1,1,1,1,1,1,1,1,2,0,3,0
